,N Control(raw),Mean Control(raw),N Case(raw),Mean Case(raw),cohen's d(raw),Fold change(raw),p-value(raw),fdr(raw),N Control(PSM),Mean Control(PSM),N Case(PSM),Mean Case(PSM),cohen's d(PSM),Fold change(PSM),p-value(PSM),fdr(PSM)
W5X0,100,0.42390887314539194,100,0.7212542731453923,2.5958165699357774,1.701437074892313,1.439062164405323e-30,7.195310822026615e-29,86,0.42499936616864786,86,0.7244830870988805,2.5538713836339797,1.7046686295795364,1.4001315800646817e-25,7.000657900323408e-24
W5X4,100,0.8229960304441587,100,1.0818168304441584,2.1043199610743257,1.3144860855043468,4.731918414759065e-26,1.1829796036897662e-24,86,0.8242499885836929,86,1.0834869653278791,2.0342708882156395,1.3145125633421393,1.8332572219538935e-21,4.5831430548847337e-20
W5X8,100,1.0620500281776102,100,1.23686022817761,1.5455176321921529,1.164596954344947,2.4079100649933323e-18,4.013183441655554e-17,86,1.060093735154354,86,1.2395039677124937,1.508326020535944,1.1692399705880885,2.4648955308352044e-15,4.108159218058674e-14
W5X9,100,0.8132677964632146,100,1.0139807964632148,1.4035905565330842,1.2467981652204507,3.829751164639471e-16,4.787188955799339e-15,86,0.8144656569283312,86,1.0151621685562378,1.3685397206164247,1.246414946929514,1.1639229015210945e-13,1.454903626901368e-12
W4X9,100,1.341328147173853,100,1.4758431471738533,1.117215717020283,1.1002849304873086,2.5289866492387364e-11,2.1074888743656138e-10,86,1.3394705239180384,86,1.479127733220365,1.1115494277552964,1.1042629955706826,3.593158250608987e-10,3.593158250608987e-09
W5X7,100,0.4708541027876376,100,0.6301235027876375,1.1311700357819117,1.3382563708313546,7.510058259547178e-12,7.510058259547178e-11,86,0.47273644232252104,86,0.6311729539504284,1.0782838961396166,1.3351476582797803,1.025650875774105e-09,8.547090631450875e-09
W5X1,100,0.7769305794940645,100,0.9357905794940637,1.0823819915868145,1.2044712927935575,5.406911448171406e-11,3.862079605836718e-10,86,0.7793598167033663,86,0.9386960957731336,1.0602609636324625,1.20444507871056,1.6518100909321388e-09,1.1798643506658133e-08
W5X2,100,0.9186310455758887,100,1.0549544455758888,1.0410843464814261,1.148398424652129,5.060947732839677e-10,2.8116376293553765e-09,86,0.9176050176689118,86,1.058023157203796,1.0390733185361416,1.1530267782227293,4.534344411095442e-09,2.5190802283863568e-08
W5X5,100,0.9521467593156574,100,1.0889565593156572,1.0610349818557319,1.143685622685236,1.8319709094846903e-10,1.1449818184279314e-09,86,0.9512446058272856,86,1.0907004197807735,1.031197495910078,1.1466035266840802,4.1342276622228465e-09,2.5190802283863568e-08
W5X6,100,1.1452937439380173,100,1.2825311439380171,1.017257752849677,1.1198272501935775,7.228361804192514e-10,3.614180902096257e-09,86,1.1446595067287153,86,1.2851288090542965,1.008761844822039,1.1227171062659707,8.758708759017815e-09,4.3793543795089073e-08
W4X0,100,1.2720431501761766,100,1.4115327501761765,0.898780077107088,1.1096579152843051,3.876154820130671e-08,1.7618885546048506e-07,86,1.2754503269203623,86,1.4143919548273391,0.8748381788792059,1.1089353501068586,2.7830904446901335e-07,1.265041111222788e-06
W4X8,100,0.5781851606862703,100,0.6943403606862709,0.8761667992739808,1.2008961970973648,9.419065622883255e-08,3.9246106762013565e-07,86,0.5783200258025494,86,0.6969125839420847,0.8548269690205794,1.2050638968881657,6.31328386421956e-07,2.6305349434248165e-06
W4X7,100,1.1199044214153298,100,1.2117720214153302,0.8006812128557977,1.082031643275324,1.1671894981318513e-06,4.489190377430197e-06,86,1.116471212113005,86,1.2159807469967254,0.8276848690197639,1.0891286168457415,1.3987388635283867e-06,5.379764859724564e-06
W4X3,100,0.6888186293320644,100,0.7829040293320644,0.7834356292014288,1.136589511365616,1.986070260009759e-06,7.0931080714634245e-06,86,0.6856701177041572,86,0.7850408153785758,0.7781418166157258,1.1449249356339803,5.697999418868484e-06,2.0349997924530297e-05
W4X5,100,0.7714304885875444,100,0.8657468885875446,0.7342618210506704,1.12226169615449,6.8899348961216935e-06,2.296644965373898e-05,86,0.770294293238707,86,0.869477316494521,0.7415916709433236,1.1287599092014537,1.0548999844153602e-05,3.516333281384534e-05
W5X3,100,1.1287520705879956,100,1.225540270587996,0.7104511716480574,1.0857479711639253,1.5182650882985838e-05,4.744578400933074e-05,86,1.1268749589600886,86,1.2277163543089267,0.7122867927193536,1.0894876530417335,3.62817336643513e-05,0.0001133804177010978
W4X6,100,1.3973935843866518,100,1.473273184386653,0.5520420452630777,1.0543008074803109,0.0005479023664330527,0.001611477548332508,86,1.397579105316886,86,1.4757600355494438,0.5413351258445736,1.0559402540687177,0.0006066540558443861,0.0017842766348364295
W4X4,100,0.7026806446772224,100,0.7790074446772229,0.5428114959097328,1.1086223173758563,0.0007700934726753459,0.0021391485352092944,86,0.7030860679330364,86,0.781621881886525,0.5343935150421792,1.1117015647662762,0.0008857907627026689,0.0024605298963963026
W4X1,100,1.4164541153624202,100,1.467852915362419,0.43247389982837586,1.036286950239011,0.007353431542172114,0.019351135637295038,86,1.4118260455949772,86,1.4723662781531168,0.48884992295099994,1.0428808016023154,0.003232397211957173,0.008506308452518875
W4X2,100,0.9317216442393904,100,0.9624476442393902,0.26676537032081854,1.0329776604310645,0.0892480581999289,0.2141433694129482,86,0.9273157791231111,86,0.9650795000533435,0.3023099047311675,1.0407236906568575,0.056190512367048896,0.13952478327285692
W3X7,100,1.0902843172161818,100,1.1219047172161825,0.2651738901310831,1.0290019763658866,0.08994021515343824,0.2141433694129482,86,1.086318256751066,86,1.1247917451231595,0.30075741876062834,1.0354164059500932,0.05860040897459991,0.13952478327285692
W2X6,100,0.9161170820499249,100,0.9265194820499254,0.08577700050184985,1.0113548805101678,0.6259350284174892,0.7521917943855941,86,0.9123933936778319,86,0.9310285099569019,0.14540745850548228,1.020424431400092,0.36871422282644595,0.8379868700601044
W3X6,100,1.4515308108370155,100,1.441301610837016,0.08606141092928812,0.9929528192418452,0.4915699365396703,0.7521917943855941,86,1.4458062108370164,86,1.4455629550230626,0.0019319547185580855,0.9998317507476933,0.9523775135134384,1.0
W3X9,100,1.4753498391329043,100,1.465040239132904,0.08507408863647684,0.9930120980620709,0.5518667370494031,0.7521917943855941,86,1.4719443833189503,86,1.4691201972724388,0.021718410641162443,0.9980813228553218,0.9207129474880618,1.0
W3X8,100,0.9757023898308743,100,0.9680151898308741,0.055589259956458845,0.9921213680727659,0.6574214164561965,0.7521917943855941,86,0.975887478202967,86,0.9719530595983158,0.026757487255611907,0.9959683685952235,0.8952265745554409,1.0
W1X0,100,1.1297443687992668,100,1.118620768799268,0.09726149495302748,0.9901538787824883,0.45318203174538696,0.7521917943855941,86,1.123579964148105,86,1.122626940892291,0.0077800779896677035,0.9991517975700674,0.9353148093099186,1.0
W3X3,100,1.2768503417761448,100,1.2674743417761452,0.07595925067806017,0.992656931127138,0.59765704400581,0.7521917943855941,86,1.2737886627063773,86,1.2703570347994007,0.025626889483691417,0.9973059676165703,0.9572566014994919,1.0
W1X1,100,1.2368826806645483,100,1.2301324806645477,0.05047924426319143,0.994542570523848,0.6742933024057656,0.7521917943855941,86,1.2344216295017576,86,1.2325232574087335,0.013288272188717058,0.9984621363984116,0.9584768933625947,1.0
W1X2,100,1.4917542761813651,100,1.4849074761813654,0.05150995810660671,0.9954102360493805,0.6769726149470348,0.7521917943855941,86,1.4886704668790387,86,1.487493257576714,0.008321765824370735,0.9992092210274093,0.9890040103418126,1.0
W1X3,100,0.8235058495516111,100,0.8146344495516111,0.06854367080628815,0.9892272774931345,0.5461646226079262,0.7521917943855941,86,0.8213828588539361,86,0.818902161179518,0.018072065505736097,0.9969798521509452,0.9596972487149747,1.0
W1X4,100,1.3745166906266066,100,1.3669098906266066,0.05647637863052723,0.9944658365723211,0.6087280169286562,0.7521917943855941,86,1.3723826348126533,86,1.3710291464405597,0.009565842924089634,0.9990137674889202,0.9914474566411391,1.0
W1X5,100,0.7527453458306315,100,0.7474529458306314,0.03750935873399372,0.9929692026270052,0.8060224051087783,0.8060224051087783,86,0.7515187458306315,86,0.7493052574585385,0.014721344122407134,0.9970546464950165,0.9890040103418126,1.0
W1X6,100,0.836569784082035,100,0.825754184082035,0.08627112641824024,0.9870714909792399,0.5000725603700781,0.7521917943855941,86,0.8330884678029651,86,0.8318852119890121,0.009237505905981346,0.998555668622894,0.9828958354146811,1.0
W1X7,100,1.0842921132208052,100,1.0755369132208057,0.06783763170670613,0.9919254231463578,0.6468551557985761,0.7521917943855941,86,1.0827438667091778,86,1.0788834015928985,0.027778082071900256,0.9964345536973462,0.9304448586682248,1.0
W1X8,100,1.0161193285383974,100,1.0107303285383968,0.03843378262022718,0.994696489035641,0.767497258179149,0.7994763106032803,86,1.0142699703988625,86,1.0127776448174668,0.010022701188522056,0.9985286702505756,0.9816743818870246,1.0
W1X9,100,0.9406978197807583,100,0.9322358197807588,0.06674593509763029,0.9910045502157412,0.620750749543036,0.7521917943855941,86,0.9380279314086656,86,0.9346474662923865,0.02459172609535632,0.9963961999391612,0.9938909795556837,1.0
W2X0,100,0.8270890005563798,100,0.8202996005563798,0.04933226971975601,0.9917912098994996,0.6398496872211095,0.7521917943855941,86,0.8247239773005659,86,0.8241428145098684,0.004036088365719572,0.9992953244883218,0.974346300134026,1.0
W2X1,100,1.2801350506237548,100,1.2734814506237546,0.04938679166177834,0.9948024233874714,0.709433559382358,0.7634412267788493,86,1.2782967576004993,86,1.275677222716778,0.018133108513357067,0.9979507615362818,0.9743462850122073,1.0
W2X2,100,0.6319630439651766,100,0.622393843965176,0.07901072188621791,0.984857975333558,0.5551380784050653,0.7521917943855941,86,0.6276558486163394,86,0.6256665462907576,0.015263161760423815,0.9968305842605192,1.0,1.0
W2X3,100,0.5885116532939174,100,0.5767084532939176,0.1022365187277204,0.9799439825295949,0.43070084948110277,0.7521917943855941,86,0.5809778579450805,86,0.5824294858520571,0.012127133722656676,1.002498594201354,0.9304448586682248,1.0
W2X4,100,1.3450656726359094,100,1.33811887263591,0.05060938663921984,0.9948353451126398,0.6627315903118778,0.7521917943855941,86,1.344349021473119,86,1.341249486589398,0.021200035096912068,0.9976943971883696,0.9694620768488729,1.0
W2X5,100,0.9526438648443228,100,0.9449796648443228,0.05893602588415518,0.9919548109394979,0.635487214312119,0.7521917943855941,86,0.9497910229838579,86,0.9478414881001368,0.014024565876417377,0.9979474064962244,0.9816743494748624,1.0
W2X7,100,0.980603995396543,100,0.9710347953965431,0.07901072188621244,0.9902415245655509,0.5551380784050653,0.7521917943855941,86,0.9762968000477059,86,0.9743074977221244,0.01526316176042126,0.997962400035026,1.0,1.0
W2X8,100,0.8533845997019093,100,0.840976799701909,0.11132729038828845,0.9854604828768478,0.3777421717554613,0.7521917943855941,86,0.8472792741205138,86,0.8458576462135365,0.01196044208682473,0.9983221259502034,1.0,1.0
W2X9,100,1.4919113583601815,100,1.4833169583601817,0.06862427226381457,0.9942393360357239,0.5900470460086152,0.7521917943855941,86,1.4857248234764606,86,1.4870262188252976,0.00987945257164329,1.0008759329643506,0.9755674990421723,1.0
W3X0,100,1.460707013243941,100,1.455178813243941,0.03697939531200216,0.9962153943604863,0.7176347531721183,0.7634412267788493,86,1.4613208411509184,86,1.4592233992904524,0.013455622842165477,0.998564694486384,1.0,1.0
W3X1,100,0.632633236513056,100,0.6273408365130559,0.03750935873399372,0.9916343314031828,0.8060224051087783,0.8060224051087783,86,0.631406636513056,86,0.6291931481409629,0.014721344122407137,0.9964943536477269,0.9890040103418126,1.0
W3X2,100,0.653614162959647,100,0.6458107629596472,0.055909996169813514,0.9880611522175942,0.6468551557985761,0.7521917943855941,86,0.6532245071456935,86,0.6506698559829028,0.017476189372274326,0.9960891682188205,0.9231448699306067,1.0
W3X5,100,1.0318150882059434,100,1.024968288205944,0.05150995810660337,0.9933643149065555,0.6769726149470348,0.7521917943855941,86,1.0287312789036178,86,1.0275540696012926,0.008321765824373877,0.9988556687966367,0.9890040103418126,1.0
W3X4,100,0.7124701636030467,100,0.7015201636030467,0.09356092949304928,0.9846309353578758,0.4770676908505965,0.7521917943855941,86,0.707599289184442,86,0.7058625449983956,0.013887804881253907,0.997545582347817,0.969462004855554,1.0
